iter	Passed	Remaining
205	270	1043
206	271	1040
207	272	1036
208	272	1033
209	273	1029
210	274	1025
211	274	1021
212	275	1017
213	276	1014
214	276	1010
215	277	1006
216	277	1002
217	278	999
218	279	995
219	279	992
220	280	989
221	281	986
222	282	982
223	282	979
224	283	975
225	283	972
226	284	969
227	285	965
228	285	962
229	286	959
230	287	956
231	288	953
232	288	950
233	289	946
234	289	943
235	290	940
236	291	937
237	291	934
238	292	932
239	293	929
240	294	926
241	294	923
242	295	920
243	296	917
244	296	914
245	297	911
246	297	908
247	298	906
248	299	903
249	299	899
250	300	896
251	301	893
252	301	890
253	302	887
254	302	884
255	303	880
256	303	877
257	304	874
258	304	872
259	305	869
260	306	866
261	306	864
262	307	861
263	307	858
264	308	855
265	308	852
266	309	849
267	310	846
268	311	846
269	312	844
270	312	841
271	313	838
272	313	836
273	314	833
274	315	831
275	315	828
276	316	825
277	317	823
278	317	820
279	318	818
280	318	815
281	319	813
282	320	810
283	320	808
284	321	806
285	322	803
286	322	801
287	323	799
288	323	796
289	324	794
290	325	792
291	325	790
292	326	788
293	327	786
294	327	783
295	328	781
296	329	779
297	329	777
298	330	775
299	331	772
300	331	770
301	332	768
302	332	765
303	333	763
304	334	761
305	334	759
306	335	758
307	336	755
308	337	754
309	337	751
310	338	749
311	339	747
312	339	745
313	340	743
314	340	741
315	341	738
316	341	736
317	342	734
318	343	732
319	343	730
320	344	728
321	345	726
322	345	724
323	346	722
324	346	720
325	347	718
326	347	716
327	348	714
328	349	712
329	349	710
330	350	708
331	350	705
332	351	703
333	352	702
334	352	700
335	353	698
336	353	696
337	354	694
338	355	692
339	355	690
340	356	688
341	357	686
342	357	685
343	358	683
344	358	681
345	359	679
346	360	677
347	360	675
348	361	674
349	362	672
350	362	670
351	363	669
352	364	667
353	364	665
354	365	664
355	366	662
356	366	660
357	367	659
358	368	657
359	368	655
360	369	654
361	370	652
362	370	650
363	371	648
364	371	647
365	372	645
366	373	643
367	373	642
368	374	640
369	375	638
370	375	636
371	376	635
372	376	633
373	377	631
374	377	629
375	378	628
376	379	626
377	379	624
378	380	623
379	381	621
380	381	620
381	382	618
382	382	616
383	383	614
384	383	613
385	384	611
386	385	609
387	385	608
388	386	606
389	386	605
390	387	603
391	388	602
392	388	600
393	389	598
394	389	597
395	390	595
396	390	593
397	391	592
398	392	590
399	392	589
400	393	587
401	393	585
402	394	584
403	395	582
404	395	581
405	396	579
406	396	577
407	397	576
408	397	574
409	398	573
410	399	571
411	399	570
412	400	568
413	400	567
414	401	565
415	402	564
416	402	562
417	403	561
418	403	559
419	404	558
420	405	557
421	405	555
422	406	554
423	406	552
424	407	551
425	407	549
426	408	548
427	409	546
428	409	545
429	410	544
430	411	542
431	411	541
432	412	540
433	413	538
434	413	537
435	414	535
436	414	534
437	415	533
438	415	531
439	416	530
440	417	529
441	418	527
442	418	526
443	419	525
444	419	523
445	420	522
446	421	520
447	421	519
448	422	518
449	422	516
450	423	515
451	424	514
452	425	513
453	425	511
454	426	510
455	426	509
456	427	507
457	427	506
458	428	505
459	429	503
460	429	502
461	430	501
462	431	500
463	431	498
464	432	497
465	432	495
466	433	494
467	433	493
468	434	491
469	435	490
470	435	489
471	436	488
472	437	487
473	437	485
474	438	484
475	439	483
476	439	482
477	440	481
478	441	479
479	442	478
480	442	477
481	443	476
482	443	475
483	444	474
484	445	473
485	446	471
486	446	470
487	447	469
488	447	468
489	448	466
490	449	465
491	449	464
492	450	463
493	451	462
494	451	460
